problem,method,shd,f1,sid,dag_threshold,iter_num,precision,recall,fdr,fpr,tnr,fnr,accuracy,tp,fp,tn,fn,nnz
gaussian_30,GUIDE,222.0,0.20714285714285716,727.0,,,0.5370370370370371,0.12831858407079647,0.46296296296296297,0.11961722488038277,0.8803827751196173,0.8716814159292036,0.4896551724137931,29.0,25.0,184.0,197.0,68.0
gaussian_30,JunctionTreeGap,469.0,0.29046898638426627,838.0,0.0,1.0,0.2206896551724138,0.4247787610619469,0.7793103448275862,0.5029673590504451,0.4970326409495549,0.5752212389380531,0.47888888888888886,96.0,339.0,335.0,130.0,435.0
